Ranking,Economy,GDP
1,United States,"25,462,700"
2,China,"17,963,171"
3,Japan,"4,231,141"
4,Germany,"4,072,192"
5,India,"3,385,090"
6,United Kingdom,"3,070,668"
7,France,"2,782,905"
8,Russian Federation,"2,240,422"
9,Canada,"2,139,840"
10,Italy,"2,010,432"
11,Brazil,"1,920,096"
12,Australia,"1,675,419"
13,"Korea, Rep.","1,665,246"
14,Mexico,"1,414,187"
15,Spain,"1,397,509"
16,Indonesia,"1,319,100"
17,Saudi Arabia,"1,108,149"
18,Netherlands,"991,115"
19,Türkiye,"905,988"
20,Switzerland,"807,706"
21,Poland,"688,177"
22,Argentina,"632,770"
23,Sweden,"585,939"
24,Norway,"579,267"
25,Belgium,"578,604"
26,Cuba,"545,218"
27,Ireland,"529,245"
28,Israel,"522,033"
29,United Arab Emirates,"507,535"
30,Thailand,"495,341"
31,Nigeria,"477,386"
32,"Egypt, Arab Rep.","476,748"
33,Austria,"471,400"
34,Singapore,"466,789"
35,Bangladesh,"460,201"
36,Vietnam,"408,802"
37,Malaysia,"406,306"
38,South Africa,"405,870"
39,Philippines,"404,284"
40,Denmark,"395,404"
41,"Iran, Islamic Rep.","388,544"
42,Pakistan,"376,533"
43,"Hong Kong SAR, China","359,839"
44,Colombia,"343,939"
45,Romania,"301,262"
46,Chile,"301,025"
47,Czech Republic,"290,924"
48,Finland,"280,826"
49,Iraq,"264,182"
50,Portugal,"251,945"
51,New Zealand,"247,234"
52,Peru,"242,632"
53,Qatar,"237,296"
54,Kazakhstan,"220,623"
55,Greece,"219,066"
56,Algeria,"191,913"
57,Kuwait,"184,558"
58,Hungary,"178,789"
59,Ukraine,"160,503"
60,Morocco,"134,182"
61,Ethiopia,"126,783"
62,Slovak Republic,"115,469"
63,Ecuador,"115,049"
64,Oman,"114,667"
65,Dominican Republic,"113,642"
